fft_mode,lattice_size,beta,interaction,seed,re,im,abs,var_re,var_abs,samples,source
complex,8,8.0,5.0,9203,0.00010933505704438885,9.753285167799121e-05,0.021823496134664784,0.00031491065107512665,0.00012342879296038938,1024,experiments/slurm_runs/1079730/sign_vs_U_checkerboard_high/complex/L8_beta8/U5/average_sign_vs_U.json
real,8,8.0,5.0,10203,-0.00010264598540146014,1.0998363954440668e-14,0.022356865875912405,0.0007834799377519981,0.00028317244061660943,1024,experiments/slurm_runs/1079766/sign_vs_U_checkerboard_high/real/L8_beta8/U5/average_sign_vs_U.json
complex,8,8.0,10.0,9204,0.0003434362379656977,-0.00023180765235552648,0.02139800446172705,0.00028349520325514414,0.00011968999538946538,1024,experiments/slurm_runs/1079731/sign_vs_U_checkerboard_high/complex/L8_beta8/U10/average_sign_vs_U.json
real,8,8.0,10.0,10204,-0.00070996806569343,1.9318196475228467e-14,0.020795316301703094,0.0006868060449767003,0.0002544426897039927,1024,experiments/slurm_runs/1079767/sign_vs_U_checkerboard_high/real/L8_beta8/U10/average_sign_vs_U.json
complex,8,8.0,15.0,9205,-5.737893709113171e-05,8.902952605383647e-05,0.020549731685399038,0.0002754829933457032,0.00011526776916368944,1024,experiments/slurm_runs/1079732/sign_vs_U_checkerboard_high/complex/L8_beta8/U15/average_sign_vs_U.json
real,8,8.0,15.0,10205,-0.0005322384428223831,-7.445775090178003e-15,0.01992377585158151,0.0006140037246236734,0.00021694240300273331,1024,experiments/slurm_runs/1079768/sign_vs_U_checkerboard_high/real/L8_beta8/U15/average_sign_vs_U.json
complex,8,8.0,20.0,9206,-0.0002611906866654318,0.0006398205702697161,0.020463407304343813,0.00026759512626039214,0.00010851941117233912,1024,experiments/slurm_runs/1079733/sign_vs_U_checkerboard_high/complex/L8_beta8/U20/average_sign_vs_U.json
real,8,8.0,20.0,10206,0.0004666590632603405,-1.2618149630810139e-14,0.01897144920924573,0.0005740688751498559,0.00021401914967215162,1024,experiments/slurm_runs/1079769/sign_vs_U_checkerboard_high/real/L8_beta8/U20/average_sign_vs_U.json
complex,8,8.0,25.0,9207,0.0010197654221152485,-0.000522386835529632,0.021050246724318357,0.0002731484254327671,0.0001154812188251035,1024,experiments/slurm_runs/1079734/sign_vs_U_checkerboard_high/complex/L8_beta8/U25/average_sign_vs_U.json
real,8,8.0,25.0,10207,0.00035450881995133785,-5.201715090160443e-14,0.02053585006082723,0.0006579876895594075,0.00023598011156666948,1024,experiments/slurm_runs/1079770/sign_vs_U_checkerboard_high/real/L8_beta8/U25/average_sign_vs_U.json
complex,8,8.0,30.0,9208,-0.0006849724341517847,-9.678478878798351e-05,0.019820795535302436,0.0002560241017156151,0.0001090367048513303,1024,experiments/slurm_runs/1079735/sign_vs_U_checkerboard_high/complex/L8_beta8/U30/average_sign_vs_U.json
real,8,8.0,30.0,10208,0.0006919099756691002,-2.7919571146504506e-14,0.019324057177615567,0.0005980438211519324,0.00022473881909653747,1024,experiments/slurm_runs/1079771/sign_vs_U_checkerboard_high/real/L8_beta8/U30/average_sign_vs_U.json
complex,10,10.0,0.0,9300,0.9999999999999999,0.0,0.9999999999999999,1.1113082866238126e-16,1.1113082866238126e-16,1024,experiments/slurm_runs/1079736/sign_vs_U_checkerboard_high/complex/L10_beta10/U0/average_sign_vs_U.json
